,I,III,IV,V,VI,VII,i,ii,vi
I,0.2747299442077348,0.0,0.44658556895057855,0.5715265934632844,0.0,0.0,0.0,0.0,0.6905250317332366
III,0.0,0.0,0.0,0.0,0.0,1.7390228457125305,0.0,0.0,0.0
IV,0.7778256157414893,0.0,0.0,0.8402185244116306,0.0,0.0,0.0,0.0,0.5692560411093835
V,0.9832613145850443,0.0,0.41370000710563376,0.0,0.0,0.0,0.0,0.0,0.661345960482737
VI,0.0,1.6051403404910052,0.0,0.0,0.0,0.9378740619257235,0.8394765948406586,0.0,0.0
VII,0.0,0.9440929708426431,0.0,0.0,1.4606282565569881,0.0,1.3844790485557121,0.0,0.0
i,0.0,1.1346043820678728,0.0,0.0,0.9925525835381515,1.4501481520635693,0.0,0.0,0.0
ii,0.0,0.0,0.0,1.0652892299164236,0.0,0.0,0.0,0.0,0.0
vi,0.0,0.0,1.0800816648753742,0.6686187198118168,0.0,0.0,0.0,0.0,0.0
