,I,I42,I43,I6,I64,I7,I9,II,II42,II6,II64,II7,II9,III,III6,III64,III7,IIIM7,IIM7,IM7,IV,IV6,IV64,IV7,IVM43,IVM7,V,V+,V43,V6,V64,V65,V7,VI,VI+,VI6,VI64,VI7,VII,VII6,VII64,VII65,VII7,VIIM7,VIIM9,VIM7,i,i43,i6,i7,i9,ii,ii42,ii7,iii,iii7,iii9,iii°,iiiø7,iv,iv11,iv64,iv7,iv°,v,v42,v6,v7,vi,vi42,vi64,vi7,vi9,viM7,vii,vii6,vii7,vii°,viiø7,v°7,♭II,♭II+,♭II7,♭III,♭III64,♭III7,♭III9,♭IIIM7,♭IIM7,♭IV7,♭V,♭VI,♭VI7,♭VII,♭VII6,♭VII64,♭VII7,♭VIIM7,♭ii,♭iii°7,♭ii°,♭iiø7,♭iv,♭vi,♭vii,♭vii°,♭vi°,♯I,♯I+,♯I7,♯II7,♯III,♯III+,♯IV,♯IV+,♯IV7,♯V,♯V7,♯VI,♯VI7,♯VII,♯VII+,♯VII9,♯i,♯i64,♯i7,♯ii,♯iii,♯iii°7,♯ii°,♯iv,♯iv7,♯iv°,♯iv°7,♯ivø7,♯i°7,♯v,♯vi,♯vi7,♯vi°,♯v°
IV,0.7799519763700697,0.0,0.0,1.484303755942878,0.0,0.5160532851380119,0.0,-1.7281515011224002,0.0,0.0,0.0,0.48623269649664574,0.0,-1.9351868187666028,0.896517091040759,0.0,0.0,0.0,0.0,-1.080645601518659,-1.1243056085218057,0.7543426022602165,0.0,1.3799437406186352,0.0,-2.099215182513232,0.5652292201151237,0.0,0.0,0.42078278708603833,0.0,0.0,-0.14728696113235576,-1.0196510888158166,0.0,0.0,0.0,-0.2561624188976264,-0.7340942508232998,0.0,0.3856914672747683,0.0,0.0,0.0,0.0,0.0,-0.37994611092563657,0.0,0.0,-0.2666337187649219,0.0,-0.045653088821216846,0.0,0.35377386430646324,0.18356728318463394,0.0,0.0,1.9951293797088687,0.0,0.17805210249652376,0.0,0.0,-0.569819977752668,1.9951293797088687,0.18356728318463394,0.0,0.0,0.0,-0.07628585109673858,0.0,1.9951293797088685,0.5034745029311517,0.0,0.0,-2.2095632396820974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04794451780009234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010998017833357653,1.3019821991489235,-0.25913713601436933,0.0,0.12332720280727733,0.0,0.0,0.0,0.0,0.0,0.0,0.04921923065355553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6088350185889781,-0.7129208213933413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951293797088685,0.0,0.0,0.0,0.0,0.8164743833672227,1.9951293797088687,0.0,0.0
IV6,-0.050037040676691014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2311972920329661,0.0,0.0,0.0,0.0,0.0,0.0,-2.423711228087729,0.0,0.0,0.0,0.0,0.0,-0.08662352281881656,0.0,0.0,0.0,0.0,5.0113052954086745,0.2096289176346717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843068254945707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5943595567783795,0.0,2.6421995200730657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.373696506007877
IV64,-0.3933703676778492,0.0,0.0,2.599580262914265,0.0,2.324476972669344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3980879591320368,0.0,0.0,0.0,-0.06223206969465761,0.0,0.0,3.3617203149611616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5508003479940309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00077764457642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2611258650890607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046124985231101,0.0,0.0,0.0,0.0,0.0,0.28904333066762633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28828832874425725,0.0,0.0,0.0,0.0,1.5577560862859088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9162126379661599,0.0,0.0,0.0,0.0,0.5425721207941903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.507041601594879,0.0,0.0,0.0,0.0,0.0,-0.14691874856264456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3515099265573296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219359529143098,0.0,0.0,0.0
IVM43,1.5807106583441604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1280503506599646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVM7,1.2930285858923793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30745571328517707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6340017093436314,0.0,0.0,2.474417119960259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3291413003567659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04811926853139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.78856146438808,0.0,0.0,0.23787252275568058,-0.3217432651797423,-2.23445534482546,0.0,0.7042463839508373,0.0,0.0,0.0,-1.1231040303799205,0.0,-2.2808315066156104,-0.062232069694657374,0.0,0.0766043751595582,0.0,0.0,-2.039394762254075,0.26285300572412207,0.0,-1.1608443583627672,0.0,0.0,0.5255545952074613,-1.208917169340721,0.0,0.0,0.0,0.0,0.0,0.32904840342155034,-1.122349598054435,0.0,0.0,0.0,0.0,-2.5907850047646748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13618338797479207,0.0,0.0,0.0,0.0,0.24030265760897238,0.0,-0.6323742706170679,-0.15460538982567268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672677275162445,0.0,0.0,0.0,0.0,0.0,0.9960159951180919,2.134992507641562,0.0,0.18071410891573178,0.0,0.0,0.4152065380385961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9377008070485574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1484218383642102,0.0,-1.316977199394017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7486981465216713,0.0,0.0,0.0,1.4418453270816165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2323033223449122,0.0,0.0,0.0,0.0,-1.1231040303799205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1135027344077972,0.0,0.0,0.0,0.0,0.0,0.0,-1.1231040303799205,0.0,0.0,1.8836780793606558
V+,1.3983891015502057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09938993324453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V43,1.8038542096583703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6,0.12030832507054762,0.0,0.0,0.0,0.0,0.0,0.0,0.1208655833741854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34932382310389326,0.0,0.0,0.0,0.0,3.0332162479891256,-1.7080376262996328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8606427868113493,0.0,0.0,0.0,0.0,-0.7881523891708897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5180890150262663,0.0,0.0,3.4795033506175446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735239594192156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34323303841350683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6494126366621407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811707860792749,0.0,6.811707860792749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V65,1.2442384217229474,0.0,0.0,0.0,0.0,0.0,0.0,2.7111327488200123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.785755004063899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7,0.9964389355494858,0.0,0.0,0.0,1.0731214639418558,0.259021672964248,0.0,-0.7042492678340996,0.0,0.0,0.0,0.0,0.0,-0.6140330620103708,0.0,0.0,0.0,0.0,0.0,0.0,-0.4757910281043916,1.3082412063027813,0.0,2.4038459739069356,0.0,0.0,-0.9237145650738176,3.52985723676316,0.0,0.0,0.0,0.0,0.8766152721559448,0.0,0.0,0.0,2.038202359985443,0.0,-0.5492931107180244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8597736335848005,0.0,0.0,0.0,0.0,-0.2915114003968554,0.0,1.1679555666126946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.491827893519681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246442890757388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2421751643113788,0.6211363401987986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,-2.987418255963582,0.0,0.0,0.0,0.0,0.0,0.0,-0.280833041938502,0.0,0.0,0.0,0.0,0.0,1.531075070496565,2.212807287818253,0.6033693753841527,0.0,0.0,0.0,0.0,-1.6676778340952925,0.0,0.0,0.0,0.0,-0.6006034289417834,-0.46920775210818894,0.0,0.0,-1.0424361812208227,0.0,0.0,0.0,-1.1304772476784684,0.0,0.028005230480590913,0.0,0.9547672622220412,0.9802260755748406,-0.49524291328395725,2.490439024416532,0.0,1.770974535539214,0.0,0.0,0.0,1.014925872885719,0.0,0.0,1.1629851633195751,0.0,-0.5507710551939076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9835166755080272,0.0,0.0,0.0,0.0,-0.9770810001766955,0.0,0.0,-0.6959136087461083,-1.7792584252834296,0.0,0.0,0.0,0.0,0.0,1.5403403124958464,0.0,0.7856909321781071,0.0,2.1074467721604266,0.0,0.8546838036650586,0.0,0.0,-1.8815372744038474,0.0,0.0,0.0,0.0,0.0,0.0,1.008834483492317,0.0,0.0,-3.4239644765549877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1074467721604266,0.0,2.1074467721604266,0.0,2.5774504014061623,0.0,0.0,0.0,0.0,2.800593952720372,0.0,0.0,1.788993041041892,1.4142995916004815,0.0,0.0,0.0,0.0,0.0,0.0,0.5105876419331865,2.395128844612208,0.0,0.0,0.0,0.0,0.0,1.6431411640293287,0.0,0.0,0.0,0.0,0.0,2.1074467721604266,0.0,0.0,0.0,0.0
VI+,1.3983891015502057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896517091040759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4938920880696447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1541632546298355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9681634437613893,0.0,0.0,0.0,0.0,0.0,0.49876386164969544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325884432437224,0.0,0.0,0.0,3.7106150715809316,0.0,0.0,4.3913397321423195,0.0,0.0,0.0,0.0,0.0,0.0,1.0852673622439641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.384591505152604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1180690268170492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2561624188976264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684030546264829,0.0,0.0,0.0,0.0,0.0,-0.07835007323035308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24973370448837603,0.0,0.0,0.0,0.0,2.9137991465103994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,-1.952522745559763,0.0,0.0,0.0,0.0,-0.4047466578628245,0.0,0.0,0.0,0.0,0.0,-1.7783019932052853,0.0,0.7465803716593654,0.0,1.7674766172679777,-0.9840586957739711,0.0,0.0,0.0,0.07546328158105677,1.4429805716934805,0.0,0.0,0.0,0.0,-2.6860951845689995,0.0,0.0,-2.075553516673217,0.0,0.0,-0.7034437905452827,1.3009386737031035,0.0,0.0,0.0,0.0,-0.49638376357495745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3204254753817104,0.0,0.0,1.0743294367080325,1.0743294367080325,-1.7174197832708247,0.0,-1.2875722334424327,0.0,0.0,0.0,0.0,0.0,1.2566509935019872,2.172941725376142,0.0,0.0,0.0,0.032875561879871285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3552632821700965,0.0,0.0,-0.3325842116145939,0.0,0.0,0.0,2.172941725376142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5667100541112173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1412442792963835,0.0,1.3620115091598135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7066046565827149,1.6874339095944413,0.0,0.0,0.0,2.1075589661132903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8660889059360874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5366054637528763,-0.49524291328395725,0.0,0.0,4.30432835515269,0.0,-1.5283602487363512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084445753923887,0.0,0.0,2.704940778572091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9858746240341554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7864459341014763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09254375161816186,0.0,0.0,0.0,0.0,0.1580387048338775,0.0,4.573661288936274,0.0,0.0,0.0,0.0,0.0,1.085267362243964,0.0,0.0,4.257808339517797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
