,I,I42,I43,I6,I64,I7,I9,II,II42,II6,II64,II7,II9,III,III6,III64,III7,IIIM7,IIM7,IM7,IV,IV6,IV64,IV7,IVM43,IVM7,V,V+,V43,V6,V64,V65,V7,VI,VI+,VI6,VI64,VI7,VII,VII6,VII64,VII65,VII7,VIIM7,VIIM9,VIM7,i,i43,i6,i7,i9,ii,ii42,ii7,iii,iii7,iii9,iii°,iiiø7,iv,iv11,iv64,iv7,iv°,v,v42,v6,v7,vi,vi42,vi64,vi7,vi9,viM7,vii,vii6,vii7,vii°,viiø7,v°7,♭II,♭II+,♭II7,♭III,♭III64,♭III7,♭III9,♭IIIM7,♭IIM7,♭IV7,♭V,♭VI,♭VI7,♭VII,♭VII6,♭VII64,♭VII7,♭VIIM7,♭ii,♭iii°7,♭ii°,♭iiø7,♭iv,♭vi,♭vii,♭vii°,♭vi°,♯I,♯I+,♯I7,♯II7,♯III,♯III+,♯IV,♯IV+,♯IV7,♯V,♯V7,♯VI,♯VI7,♯VII,♯VII+,♯VII9,♯i,♯i64,♯i7,♯ii,♯iii,♯iii°7,♯ii°,♯iv,♯iv7,♯iv°,♯iv°7,♯ivø7,♯i°7,♯v,♯vi,♯vi7,♯vi°,♯v°
II64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19800222191264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.493254129674215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7925371138044754,0.0,0.0,0.0,0.0,0.0
II7,-0.537951596488957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492739362086004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183951824623712,0.0,0.0,1.7344528793550975,0.0,0.0,1.3407492102102476,0.0,0.0,0.0,0.0,0.0,1.0826909149580064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7063134623840632,0.0,0.0,0.0,-1.9496856244633083,0.0,0.0,0.0,0.0,-0.08543575759479367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203979787150506,0.0,3.3994606429440086,0.0,-0.48724455449984766,0.0,0.0,1.2510262297772212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246758503331212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951293797088685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,-4.691411346278638,0.0,0.0,0.0,0.0,0.0,0.0,0.14277881080490082,0.0,0.0,0.0,0.45954314849641403,0.0,-0.6493941635698443,0.0,0.6041243773075218,1.349096625732053,2.8013489546437413,2.683565918987358,0.0,-0.32574890633250225,0.0,0.0,0.0,0.0,0.0,-2.2202068847991754,0.0,0.0,0.0,0.0,0.0,0.005006146395852714,0.7538447727260784,0.0,1.820519701632015,1.058379649585118,0.0,1.7621755825143053,2.338725432695628,0.0,0.0,0.0,2.8013489546437413,0.0,0.4187211539761589,0.2854160312926402,2.8013489546437413,0.0,1.0896321930892225,0.0,-2.6294575949503747,0.0,0.0,-1.535941786188749,0.0,0.0,0.0,0.0,0.9248482569605954,1.0095894854156862,0.0,0.0,0.0,-0.5243408745102691,0.0,0.0,0.0,-1.4731217738088787,0.0,0.0,-1.986142788138305,0.0,0.0,-1.4033436647472248,0.0,0.0,0.0,0.0,0.0,0.5189665689672147,0.0,0.0,0.0,0.0,2.8013489546437413,0.0,0.0,1.2609039136965923,0.0,1.7027366659756316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7323560831567892,-0.4567475833777408,0.0,1.1919110422096408,2.8013489546437413,0.0,0.2236605714047746,0.0,0.0,0.0,0.0,0.0,0.0,1.8299984455865586,1.1919110422096408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7019816640522623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6336540304448035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5736274061854152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041243773075218,0.0,0.0,0.0,0.0,0.0,0.0,-0.20209519762735062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9896637365040433,0.0,0.0,0.0,0.0,0.6688643285998682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4974806973418451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5878444944135093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06325875277313502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348341623808684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1554423270319945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28800021179805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIIM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04811926853139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800593952720372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM7,-0.5787735910092122,0.0,0.0,0.0,0.0,2.8322209298979266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187211539761589,0.0,0.0,0.0,0.0,0.0,0.0,1.2547293142983775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6838508557812029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38822418285405225,0.0,0.0,1.0278826784630113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
