,from_roman,to_roman
48,IV,I
49,I,I
50,I,V
51,V,vi7
52,vi7,IV
53,IV,I
54,I,V
55,V,vi7
56,vi7,IV
57,IV,I
58,I,V
59,V,vi7
60,vi7,IV
61,IV,I
62,I,V
63,V,vi7
64,vi7,IV
0,III,VII
1,VII,i
2,i,VI
3,VI,III
4,III,VII
5,VII,i
6,i,VI
7,VI,III
8,III,VII
9,VII,i
10,i,VI
11,VI,III
12,III,VII
13,VII,i
14,i,VI
15,VI,III
16,III,VII
17,VII,i
18,i,VI
19,VI,III
20,III,VII
21,VII,i
22,i,VI
23,VI,III
24,III,VII
25,VII,i
26,i,VI
27,VI,III
28,III,VII
29,VII,i
30,i,VI
31,VI,III
32,III,VII
33,VII,i
34,i,VI
35,VI,III
36,III,VII
37,VII,i
38,i,VI
39,VI,III
40,III,VII
41,VII,i
42,i,VI
43,VI,III
44,III,VII
45,VII,i
46,i,VI
47,VI,III
48,III,VII
49,VII,i
50,i,VI
51,VI,III
52,III,VII
53,VII,i
54,i,VI
55,VI,III
56,III,VII
57,VII,i
58,i,VI
59,VI,III
60,III,VII
61,VII,i
62,i,VI
63,VI,III
64,III,VII
65,VII,i
66,i,VI
67,VI,III
68,III,VII
69,VII,i
70,i,VI
71,VI,III
72,III,VII
73,VII,i
74,i,VI
75,VI,III
76,III,VII
77,VII,i
78,i,VI
79,VI,III
80,III,VII
81,VII,i
82,i,VI
83,VI,III
84,III,VII
85,VII,i
86,i,III
87,III,VII
88,VII,i
89,i,VI
90,VI,III
91,III,VII
92,VII,i
93,i,VI
94,VI,III
95,III,VII
96,VII,i
97,i,VI
98,VI,III
99,III,VII
100,VII,i
101,i,VI
102,VI,III
103,III,VII
104,VII,i
105,i,VI
106,VI,III
107,III,VII
108,VII,i
109,i,VI
0,i,v
1,v,VII
2,VII,v
3,v,VII
4,VII,i
5,i,v
6,v,VII
7,VII,v
8,v,VII
9,VII,i
10,i,v
11,v,VII
12,VII,v
13,v,VII
14,VII,i
15,i,v
16,v,VII
17,VII,v
18,v,VII
19,VII,VI
20,VI,VII
21,VII,v
22,v,VI
23,VI,VII
24,VII,VI
25,VI,VII
26,VII,v
27,v,V+7
28,V+7,i
29,i,VII
30,VII,VI
31,VI,VII
32,VII,i
33,i,VII
34,VII,VI
35,VI,VI
36,VI,VII
37,VII,i
38,i,v
39,v,VII
40,VII,v
41,v,VII
42,VII,i
43,i,v
44,v,VII
45,VII,v
46,v,VII
47,VII,VI
48,VI,VII
49,VII,v
50,v,VI
51,VI,VI
52,VI,VII
53,VII,v
54,v,V7
55,V7,i
56,i,VII
57,VII,VI
58,VI,VII
59,VII,i
60,i,VII
61,VII,VI
62,VI,VI
63,VI,VII
64,VII,VII
65,VII,VI
66,VI,VII
67,VII,i
68,i,VII
69,VII,VI
70,VI,VI
71,VI,VII
72,VII,VII
73,VII,i
74,i,v
75,v,VII
76,VII,v
77,v,VII
78,VII,i
79,i,v
80,v,VII
81,VII,v
82,v,VII
83,VII,i
84,i,VII
85,VII,VI
86,VI,VII
87,VII,VII
88,VII,i
89,i,VII
90,VII,VI
91,VI,VI
92,VI,VII
93,VII,i
94,i,VII
95,VII,VI
96,VI,VII
97,VII,i
98,i,VII
99,VII,VI
100,VI,VII
101,VII,i
102,i,VII
103,VII,VI
104,VI,VII
105,VII,i
106,i,VII
107,VII,VI
108,VI,VI
109,VI,VII
110,VII,i
0,I,IV
1,IV,I
2,I,ii
3,ii,I
4,I,iii
5,iii,IV
6,IV,I
7,I,iii
8,iii,IV
9,IV,vi
10,vi,V
11,V,iii
12,iii,V
13,V,I
14,I,I
15,I,V
16,V,vi
17,vi,IV
18,IV,I
19,I,V
20,V,vi
21,vi,IV
22,IV,I
23,I,V
24,V,vi
25,vi,V
26,V,IV
27,IV,I
28,I,iii
29,iii,IV
30,IV,vi
31,vi,V
32,V,iii
33,iii,V
34,V,I
35,I,I
36,I,V
37,V,vi
38,vi,IV
39,IV,I
40,I,V
41,V,vi
42,vi,IV
43,IV,I
44,I,V
45,V,vi
46,vi,V
47,V,IV
48,IV,vi
49,vi,V
50,V,IV
51,IV,vi
52,vi,I
53,I,V
54,V,vi
55,vi,V
56,V,iii
57,iii,V
58,V,I
59,I,I
60,I,V
61,V,vi
62,vi,IV
63,IV,I
64,I,V
65,V,vi
66,vi,IV
67,IV,I
68,I,V
69,V,vi
70,vi,IV
71,IV,I
72,I,V
73,V,vi
74,vi,V
75,V,IV
76,IV,vi
77,vi,V
78,V,I
79,I,I
80,I,I
81,I,I
82,I,I
83,I,iii
84,iii,IV
85,IV,I
86,I,iii
87,iii,IV
88,IV,I
89,I,V
90,V,vi
91,vi,IV
92,IV,I
93,I,V
94,V,vi
95,vi,IV
96,IV,I
97,I,V
98,V,vi
99,vi,IV
0,♭VI,♭III
1,♭III,V
2,V,i
3,i,♭VI
4,♭VI,♭III
5,♭III,V
6,V,i
7,i,♭VI
8,♭VI,♭VI
9,♭VI,♭III
10,♭III,♭VII
11,♭VII,i
12,i,♭VI
13,♭VI,♭III
14,♭III,♭VII
15,♭VII,i
16,i,♭VI
17,♭VI,♭VII
18,♭VII,V
19,V,i
20,i,♭VI
21,♭VI,♭VII
22,♭VII,V
23,V,i
24,i,♭VI
25,♭VI,♭III
26,♭III,V
27,V,i
28,i,♭VI
29,♭VI,♭III
30,♭III,V
31,V,i
32,i,♭VI
33,♭VI,♭VI
34,♭VI,♭III
35,♭III,♭VII
36,♭VII,i
37,i,♭VI
38,♭VI,♭III
39,♭III,♭VII
40,♭VII,i
41,i,♭VI
42,♭VI,♭VII
43,♭VII,V
44,V,i
45,i,♭VI
46,♭VI,♭VII
47,♭VII,V
48,V,i
49,i,♭II
50,♭II,♭VI
51,♭VI,♭VI
52,♭VI,♭III
53,♭III,♭II
54,♭II,♭VI
55,♭VI,V
56,V,♭VI
57,♭VI,♭VI
58,♭VI,♭VII
59,♭VII,V
60,V,i
61,i,♭VI
62,♭VI,♭VII
63,♭VII,V
64,V,i
65,i,♭VI
66,♭VI,♭III64
67,♭III64,♭VII
68,♭VII,i
69,i,♭VI
70,♭VI,♭VII
71,♭VII,♭VII
72,♭VII,i
73,i,♭VI
74,♭VI,♭VII
75,♭VII,♭VII
76,♭VII,i
77,i,♭VI
78,♭VI,♭VII
79,♭VII,♭VII
80,♭VII,i
0,I,I
1,I,vi7
2,vi7,IV
3,IV,I
4,I,I
5,I,vi7
6,vi7,IV
7,IV,I
8,I,I
9,I,vi7
10,vi7,IV
11,IV,I
12,I,I
13,I,vi7
14,vi7,IV
15,IV,V6
16,V6,IV
17,IV,V6
18,V6,vi7
19,vi7,V6
20,V6,IV
21,IV,V6
22,V6,I
23,I,IV
24,IV,V6
25,V6,I
26,I,V6
27,V6,vi7
28,vi7,IV
29,IV,V6
30,V6,vi7
31,vi7,IV
32,IV,V6
33,V6,I
