Source,Target,sum_appearance,percent,log_ratio
♭III,v,17,0.0036900369003690036,0.501939336642439
♭III,♭II,9,0.0019535489472541786,0.18803406909155562
♭III,♭III,6,0.001302365964836119,-1.4701940075119768
♭III,♭VI,64,0.013891903624918602,0.7964380680733176
♭III,♭VII,167,0.03624918602127198,1.7923950705163674
♭III,♭VII6,8,0.0017364879531148252,2.5959796777434274
♭IIIM7,IV7,24,0.005209463859344476,4.582711821318997
♭IIIM7,viø7,12,0.002604731929672238,3.505152941848719
♭IV,i,4,0.0008682439765574126,1.5562078890982516
♭IV,𝄫VI,4,0.0008682439765574126,6.374471290547051
♭V,iv,3,0.0006511829824180595,1.6255615760320181
♭V,♭II,2,0.0004341219882787063,1.7086764827425247
♭V,♭vii64,12,0.002604731929672238,5.540656780497135
♭VI,I,7,0.001519426958975472,-1.7831601410229414
♭VI,V7,3,0.0006511829824180595,0.26189591769001114
♭VI,i,77,0.016713696548730193,0.6347357984820988
♭VI,ii,1,0.00021706099413935315,-1.8739597132699164
♭VI,iv,46,0.009984805730410246,1.2303793348794378
♭VI,v,6,0.001302365964836119,-0.6400060767320445
♭VI,♭II,47,0.010201866724549598,1.7404655549190724
♭VI,♭III,111,0.0240937703494682,1.34708518602598
♭VI,♭IV,8,0.0017364879531148252,2.4954881391971053
♭VI,♭V,16,0.0034729759062296505,2.4348635173806703
♭VI,♭VI,8,0.0017364879531148252,-1.3834950121528407
♭VI,♭VII,50,0.010853049706967658,0.4859327249814358
♭VI,♭vii,2,0.0004341219882787063,0.19290304620305956
♭VII,I,3,0.0006511829824180595,-2.5936117280241784
♭VII,IV,40,0.008682439765574127,0.389331389413491
♭VII,IV6,16,0.0034729759062296505,1.8709359303377064
♭VII,i,172,0.03733449099196874,1.4752711268278342
♭VII,ii,25,0.005426524853483829,1.3817623849842506
♭VII,iv,14,0.003038853917950944,0.07764154139156777
♭VII,♭II,1,0.00021706099413935315,-2.07283577340502
♭VII,♭III,54,0.01172129368352507,0.6633853046638865
♭VII,♭VI,37,0.008031256783156067,0.18482763219751408
♭VII,♭VII,6,0.001302365964836119,-1.5974845378326892
♭VII6,i,7,0.001519426958975472,2.1158236770336742
♭VII9,i7,1,0.00021706099413935315,2.362602950149189
♭VII9,♭IIIM7,12,0.002604731929672238,4.790351186097241
♭VIM7,i,32,0.006945951812459301,2.249355069658197
♭iii,♭VI,13,0.002821792923811591,2.4954881391971053
♭vii,IV,3,0.0006511829824180595,0.724910370057489
♭vii,♭VI,16,0.0034729759062296505,2.2723445878828956
♭vii,♭iii,1,0.00021706099413935315,2.8932312012113592
♭vii64,iv,1,0.00021706099413935315,0.7952132739585878
♭vii64,♭iii,12,0.002604731929672238,5.808920767091814
♯I,i,1,0.00021706099413935315,-0.45869513144401325
♯I,♯II,5,0.0010853049706967658,4.097204005537296
♯I,♯ii,9,0.0019535489472541786,4.684990670439414
♯II,i,6,0.001302365964836119,0.7830180008647697
♯II,v,18,0.003907097894508357,3.158934366944365
♯II,♯II,2,0.0004341219882787063,2.6308669367438684
♯IV,III,3,0.0006511829824180595,2.549459662108535
♯IV,♯I,9,0.0019535489472541786,4.724211383592696
♯IV,♯ii,13,0.002821792923811591,4.541889826798741
♯V,♯II,6,0.001302365964836119,2.8767018992601487
♯V,♯V,2,0.0004341219882787063,0.9253122844402099
♯V,♯VI,13,0.002821792923811591,3.474001121029966
♯V,♯VM7,1,0.00021706099413935315,0.7876909065641619
♯V,♯vi,26,0.005643585847623182,4.343038968053576
♯V,𝄪iv,12,0.002604731929672238,3.9375738599454113
♯VI,i,2,0.0004341219882787063,-0.4914849542670042
♯VI,♯II,13,0.002821792923811591,4.326778447181796
♯VI,♯V,6,0.001302365964836119,2.700811232796484
♯VI,♯VI,3,0.0006511829824180595,2.684550711924704
♯VI,♯vii,5,0.0010853049706967658,4.837604070947786
♯VI,𝄪iv,2,0.0004341219882787063,2.822701050405521
♯VM7,V+,12,0.002604731929672238,4.898564770737473
♯VM7,VII,1,0.00021706099413935315,2.95265462168216
♯VM7,vii°7,20,0.004341219882787063,4.898564770737473
♯VM7,viø7,1,0.00021706099413935315,1.0484171690274147
♯VM7,♭VII9,1,0.00021706099413935315,2.3336154132759366
♯i,VI,18,0.003907097894508357,5.304029878845638
♯i,♯IV,2,0.0004341219882787063,2.883661750195208
♯i,♯iv,1,0.00021706099413935315,4.310778105835354
♯ii,♯V,26,0.005643585847623182,4.343038968053576
♯iii,♯IV,22,0.00477534187106577,5.235037007358686
♯iv,III,1,0.00021706099413935315,3.5711109096405163
♯iv,V,2,0.0004341219882787063,2.338020706743853
♯vi,♯ii,3,0.0006511829824180595,3.0363320448520326
♯vi,♯iii,22,0.00477534187106577,5.195816294205405
♯vii,♯V,1,0.00021706099413935315,2.551279498825521
♯vii,♯vii,1,0.00021706099413935315,4.870393893770777
♯vii,𝄪iv,4,0.0008682439765574126,5.158075966222558
𝄪iv,♯V,17,0.0036900369003690036,4.285880554213627
𝄫VI,i,2,0.0004341219882787063,1.5562078890982516
𝄫VI,iv,2,0.0004341219882787063,2.667015450860179
