Source,Target,sum_appearance,percent,log_ratio,probability
I,I,23,0.004992402865205123,-0.8597098103946829,0.046
I,II,89,0.01931842847840243,1.1689146877884473,0.178
I,III,6,0.001302365964836119,-1.793016659645484,0.012
I,IV,79,0.017147818537008898,0.7669197781350319,0.158
I,V,152,0.03299327110918168,1.542807906422934,0.304
I,VI,2,0.0004341219882787063,-2.8520499620329356,0.004
I,VII,25,0.005426524853483829,-0.4733481918240875,0.05
I,VM7,8,0.0017364879531148252,1.536207222391582,0.016
I,ii,35,0.00759713479487736,1.4152546119739193,0.07
I,iii,12,0.002604731929672238,-0.2761715340392088,0.024
I,vi,48,0.010418927718688952,1.083275577044494,0.096
I,vi7,13,0.002821792923811591,1.0331036447195017,0.026
I,♭III,8,0.0017364879531148252,0.23125850072564372,0.016
I6,IV,4,0.0008682439765574126,2.6220303549433703,1.0
II,I,104,0.02257434339049273,1.3246692171976802,0.41106719367588934
II,II,3,0.0006511829824180595,-1.545627048895443,0.011857707509881422
II,II64,3,0.0006511829824180595,2.9048367473316676,0.011857707509881422
II,V,16,0.0034729759062296505,-0.033001547803421044,0.06324110671936758
II,V6,1,0.00021706099413935315,0.5069414745332966,0.003952569169960474
II,iii,84,0.018233123507705666,2.3452209593962445,0.33201581027667987
II,vi,42,0.009116561753852833,1.6252265288001113,0.16600790513833993
II64,V,3,0.0006511829824180595,2.7434858148520176,1.0
III,I,2,0.0004341219882787063,-2.8916289483135937,0.006024096385542169
III,III,21,0.0045582808769264165,-0.1298257936998226,0.06325301204819277
III,IV6,13,0.002821792923811591,1.770744453378211,0.0391566265060241
III,V,8,0.0017364879531148252,-0.9912031752932131,0.024096385542168676
III,VI,33,0.007163012806598654,0.3617383163238926,0.09939759036144578
III,VII,167,0.03624918602127198,1.8361976931747603,0.5030120481927711
III,VII6,9,0.0019535489472541786,2.6397823004018206,0.02710843373493976
III,i,25,0.005426524853483829,-0.3458996372986688,0.07530120481927711
III,ii,1,0.00021706099413935315,-1.729665552065201,0.0030120481927710845
III,iv,13,0.002821792923811591,0.11098145705659503,0.0391566265060241
III,v,17,0.0036900369003690036,0.545741959300832,0.05120481927710843
III,vi,6,0.001302365964836119,-0.5857380671850486,0.018072289156626505
III,♯IV,1,0.00021706099413935315,-0.5790935244663803,0.0030120481927710845
III,♯i,16,0.0034729759062296505,2.3678485849181787,0.04819277108433735
IIIM7,IV7,24,0.005209463859344476,4.582711821318997,0.6666666666666666
IIIM7,♯viø7,12,0.002604731929672238,3.505152941848719,0.3333333333333333
IV,I,204,0.04428044280442804,1.7155919195122267,0.6053412462908012
IV,III,3,0.0006511829824180595,-2.0934878882135863,0.008902077151335312
IV,IV,29,0.0062947688300412415,0.1574437076463274,0.08605341246290801
IV,V,43,0.009333622747992185,0.672803453262063,0.12759643916913946
IV,VI,8,0.0017364879531148252,-1.0730796489212022,0.02373887240356083
IV,VI7,3,0.0006511829824180595,2.6220303549433703,0.008902077151335312
IV,VII,8,0.0017364879531148252,-1.2201065230206094,0.02373887240356083
IV,i,4,0.0008682439765574126,-2.1962330465054296,0.011869436201780416
IV,ii7,2,0.0004341219882787063,1.928883174383425,0.005934718100890208
IV,v,3,0.0006511829824180595,-1.206611041545725,0.008902077151335312
IV,vi,17,0.0036900369003690036,0.437963862184662,0.050445103857566766
IV,vi7,5,0.0010853049706967658,0.4702681516839083,0.01483679525222552
IV,♭VI,5,0.0010853049706967658,-0.25716810235466914,0.01483679525222552
IV,♭VII,3,0.0006511829824180595,2.11120473117738,0.008902077151335312
IV6,IV6,2,0.0004341219882787063,2.2790856038165397,0.06451612903225806
IV6,V7,2,0.0004341219882787063,2.380868298126482,0.06451612903225806
IV6,VI,11,0.002387670935532885,1.643269354995703,0.3548387096774194
IV6,v,16,0.0034729759062296505,2.865260664824317,0.5161290322580645
IV7,V7,20,0.004341219882787063,4.651704692805947,0.625
IV7,VII9,12,0.002604731929672238,4.908134221753624,0.375
IVM7,I,11,0.002387670935532885,2.2293544029515275,1.0
V,I,47,0.010201866724549598,0.36907498728671617,0.15666666666666668
V,II,86,0.01866724549598437,1.6487570262103053,0.2866666666666667
V,IV,29,0.0062947688300412415,0.2788991675549747,0.09666666666666666
V,IVM7,11,0.002387670935532885,2.7434858148520176,0.03666666666666667
V,V,11,0.002387670935532885,-0.5690459297244816,0.03666666666666667
V,VI,3,0.0006511829824180595,-1.9324534420242812,0.01
V,VII,2,0.0004341219882787063,-2.484945424231853,0.006666666666666667
V,i,5,0.0010853049706967658,-1.8516340352825724,0.016666666666666666
V,ii,6,0.001302365964836119,0.1657974316130509,0.02
V,ii7,2,0.0004341219882787063,2.050338634292072,0.006666666666666667
V,iii,38,0.00824831777729542,1.3906393877996668,0.12666666666666668
V,v,1,0.00021706099413935315,-2.1837678703051875,0.0033333333333333335
V,vi,35,0.00759713479487736,1.2815540395265068,0.11666666666666667
V,vi7,24,0.005209463859344476,2.1603395295064005,0.08
V+,V7,1,0.00021706099413935315,2.6368016722636827,0.08333333333333333
V+,i7,5,0.0010853049706967658,4.052083570256825,0.4166666666666667
V+,♯VM7,2,0.0004341219882787063,3.1068053015094184,0.16666666666666666
V+,♯vii7,1,0.00021706099413935315,5.9690061824388865,0.08333333333333333
V+,♯viiø7,3,0.0006511829824180595,5.681324109987106,0.25
V6,I,10,0.0021706099413935317,2.1340442231472028,0.9090909090909091
V6,II,1,0.00021706099413935315,0.5069414745332966,0.09090909090909091
V7,V7,2,0.0004341219882787063,2.482650992436424,0.07142857142857142
V7,i,5,0.0010853049706967658,0.5265884719170932,0.17857142857142858
V7,i7,3,0.0006511829824180595,2.6939600861036315,0.10714285714285714
V7,♯VM7,17,0.0036900369003690036,4.399573604618485,0.6071428571428571
V7,♯viiø7,1,0.00021706099413935315,3.7354139609317927,0.03571428571428571
VI,III,122,0.026481441285001087,1.669251799590669,0.3836477987421384
VI,V7,3,0.0006511829824180595,0.4457690651753845,0.009433962264150943
VI,VI,7,0.001519426958975472,-1.1492801098066163,0.0220125786163522
VI,VII,51,0.01107011070110701,0.689608499762989,0.16037735849056603
VI,i,72,0.01562839157803343,0.7514696431298438,0.22641509433962265
VI,ii,1,0.00021706099413935315,-1.6900865657845427,0.0031446540880503146
VI,iv,46,0.009984805730410246,1.4142524823648115,0.14465408805031446
VI,v,6,0.001302365964836119,-0.4561329292466709,0.018867924528301886
VI,♭IV,8,0.0017364879531148252,2.6793612866824787,0.025157232704402517
VI,♭VI,2,0.0004341219882787063,-1.1161279024897155,0.006289308176100629
VI7,ii,3,0.0006511829824180595,4.084464979759866,1.0
VII,I,2,0.0004341219882787063,-2.999076836132343,0.005434782608695652
VII,III,53,0.011504232689385717,0.6884957943101269,0.14402173913043478
VII,IV,40,0.008682439765574127,0.389331389413491,0.10869565217391304
VII,IV6,16,0.0034729759062296505,1.8709359303377064,0.043478260869565216
VII,VI,37,0.008031256783156067,0.36870077968288767,0.10054347826086957
VII,VII,6,0.001302365964836119,-1.5974845378326892,0.016304347826086956
VII,i,172,0.03733449099196874,1.4752711268278342,0.4673913043478261
VII,ii,25,0.005426524853483829,1.3817623849842506,0.06793478260869565
VII,iv,14,0.003038853917950944,0.07764154139156777,0.03804347826086957
VII,♯i,3,0.0006511829824180595,0.5864242635277581,0.008152173913043478
VII6,i,7,0.001519426958975472,1.9980406413772906,0.875
VII6,♯i,1,0.00021706099413935315,3.2121658171672447,0.125
VII9,IIIM7,12,0.002604731929672238,4.790351186097241,0.9230769230769231
VII9,i7,1,0.00021706099413935315,2.362602950149189,0.07692307692307693
VIM7,i,32,0.006945951812459301,2.249355069658197,1.0
VM7,I,16,0.0034729759062296505,2.229354402951527,1.0
i,III,64,0.013891903624918602,0.5941076211928022,0.1306122448979592
i,IV,18,0.003907097894508357,-0.6921556497291552,0.036734693877551024
i,VI,151,0.03277621011504233,1.492083360928713,0.3081632653061224
i,VII,52,0.011287171695246364,0.2790203685958086,0.10612244897959183
i,i,62,0.013457781636639896,0.171931692134598,0.12653061224489795
i,i42,1,0.00021706099413935315,2.249355069658197,0.0020408163265306124
i,iv,27,0.005860646841762535,0.4514417348557635,0.05510204081632653
i,v,50,0.010853049706967658,1.234124389929138,0.10204081632653061
i,♭II,7,0.001519426958975472,-0.4099049672745814,0.014285714285714285
i,♯I,6,0.001302365964836119,1.3330643377840419,0.012244897959183673
i,♯V,7,0.001519426958975472,0.08439135454019882,0.014285714285714285
i,♯viø7,32,0.006945951812459301,1.8649433707478649,0.0653061224489796
i,𝄪VI,13,0.002821792923811591,1.380317222634587,0.026530612244897958
i42,♯viø7,1,0.00021706099413935315,4.603765230516829,1.0
i7,IIIM7,24,0.005209463859344476,4.522087199502561,0.7058823529411765
i7,IV7,8,0.0017364879531148252,3.541257946490835,0.23529411764705882
i7,i7,1,0.00021706099413935315,1.4011917829945642,0.029411764705882353
i7,♯viø7,1,0.00021706099413935315,1.077404705900667,0.029411764705882353
ii,I,1,0.00021706099413935315,-2.1400934495154944,0.012658227848101266
ii,IV,31,0.006728890818319948,1.6865697069614949,0.3924050632911392
